timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 52295,0.138427734375,-0.147705078125,-1.008056640625,-2.103658676147461,0.12195122241973877,0.5182926654815674,-64.80000305175781,36.29999923706055,96.30000305175781,39.2106819152832,0,
 52305,0.127685546875,-0.143310546875,-1.005615234375,-1.6158536672592163,0.21341463923454285,0.5182926654815674,-67.3499984741211,33.45000076293945,96.1500015258789,39.2106819152832,0,
 52315,0.11474609375,-0.145751953125,-1.013916015625,-1.1890244483947754,0.5792682766914368,-0.18292683362960815,-68.25,34.349998474121094,97.05000305175781,39.30652618408203,0,
 52325,0.11962890625,-0.148193359375,-1.00390625,-1.3719512224197388,0.6707317233085632,-0.3658536672592163,-67.3499984741211,34.20000076293945,96.1500015258789,38.971065521240234,0,
 52335,0.122802734375,-0.146728515625,-1.009033203125,-1.2804877758026123,0.7012194991111755,-0.5487805008888245,-67.80000305175781,34.650001525878906,96.1500015258789,39.35445022583008,0,
 52345,0.130615234375,-0.14208984375,-1.00244140625,-1.9512195587158203,0.3658536672592163,-0.18292683362960815,-68.8499984741211,35.70000076293945,96.44999694824219,39.35445022583008,0,
 52355,0.1220703125,-0.145751953125,-1.009033203125,-1.920731782913208,-0.09146341681480408,-0.3353658616542816,-67.19999694824219,35.25,96.0,39.35445022583008,0,
 52365,0.123779296875,-0.149658203125,-1.007080078125,-2.012195110321045,-0.396341472864151,0.030487805604934692,-66.1500015258789,34.20000076293945,96.44999694824219,39.35445022583008,0,
 52385,0.123046875,-0.144287109375,-1.0068359375,-2.195122003555298,-0.5487805008888245,0.21341463923454285,-68.0999984741211,35.400001525878906,96.1500015258789,39.162757873535156,0,
 52395,0.12451171875,-0.146728515625,-1.01416015625,-2.103658676147461,-0.4573170840740204,0.09146341681480408,-68.0999984741211,35.400001525878906,96.1500015258789,39.450294494628906,0,
 52405,0.127685546875,-0.1484375,-1.005859375,-2.1646342277526855,-0.060975611209869385,0.3353658616542816,-67.3499984741211,32.54999923706055,95.69999694824219,39.30652618408203,0,
 52415,0.130126953125,-0.14794921875,-1.010498046875,-2.2560975551605225,-0.15243902802467346,0.27439025044441223,-67.3499984741211,32.54999923706055,95.69999694824219,39.2106819152832,0,
 52435,0.12939453125,-0.156494140625,-1.01025390625,-2.012195110321045,-0.09146341681480408,0.12195122241973877,-67.19999694824219,33.599998474121094,94.5,39.35445022583008,0,
 52445,0.12255859375,-0.150146484375,-1.003173828125,-1.7682926654815674,0.18292683362960815,0.24390244483947754,-66.1500015258789,33.0,96.44999694824219,39.2106819152832,0,
 52465,0.12646484375,-0.143310546875,-1.006103515625,-1.7987805604934692,-0.4878048896789551,-0.15243902802467346,-66.75,34.79999923706055,98.25,39.30652618408203,0,
 52496,0.12841796875,-0.1474609375,-1.009765625,-1.7682926654815674,-0.12195122241973877,-0.24390244483947754,-66.5999984741211,35.400001525878906,96.9000015258789,39.2106819152832,0,
 52516,0.12939453125,-0.15185546875,-1.015869140625,-1.5548781156539917,-0.24390244483947754,0.24390244483947754,-66.44999694824219,35.25,97.05000305175781,39.11483383178711,0,
 52536,0.13134765625,-0.152587890625,-1.004638671875,-1.9512195587158203,-0.18292683362960815,0.3353658616542816,-67.5,33.599998474121094,97.05000305175781,39.2106819152832,0,
 52546,0.1318359375,-0.147705078125,-1.0048828125,-2.1646342277526855,0.15243902802467346,0.24390244483947754,-67.5,33.599998474121094,97.05000305175781,39.2106819152832,0,
