timestamp,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,emg,
 161079,0.19384765625,-0.00634765625,-1.005126953125,-1.8597561120986938,-0.060975611209869385,0.3048780560493469,-62.54999923706055,32.849998474121094,86.55000305175781,40.264984130859375,0,
 161089,0.197021484375,-0.00634765625,-1.0009765625,-1.7073171138763428,-0.24390244483947754,0.27439025044441223,-63.0,31.649999618530273,85.05000305175781,40.264984130859375,0,
 161099,0.191650390625,-0.0126953125,-1.00732421875,-2.22560977935791,-0.3658536672592163,0.030487805604934692,-64.3499984741211,33.45000076293945,88.6500015258789,40.60044479370117,0,
 161109,0.191650390625,-0.013916015625,-1.0107421875,-2.1341464519500732,0.0,0.3353658616542816,-61.95000076293945,33.45000076293945,87.44999694824219,40.60044479370117,0,
 161179,0.195556640625,-0.0126953125,-1.009033203125,-1.8292683362960815,-0.15243902802467346,0.21341463923454285,-63.0,34.04999923706055,88.5,40.21706008911133,0,
 161189,0.197265625,-0.01220703125,-1.01025390625,-2.2865853309631348,-0.3048780560493469,0.4573170840740204,-63.0,34.04999923706055,88.5,40.50459671020508,0,
 161199,0.19140625,-0.01318359375,-1.007568359375,-2.1341464519500732,-0.15243902802467346,0.4573170840740204,-63.599998474121094,33.45000076293945,86.4000015258789,40.50459671020508,0,
 161209,0.190185546875,-0.010009765625,-1.00537109375,-2.1646342277526855,-0.18292683362960815,0.4878048896789551,-63.599998474121094,33.45000076293945,86.4000015258789,40.40875244140625,0,
 161219,0.194580078125,-0.01611328125,-1.01708984375,-2.012195110321045,0.21341463923454285,0.21341463923454285,-65.25,34.04999923706055,87.0,40.74421310424805,0,
 161229,0.192138671875,-0.01318359375,-1.0078125,-1.9512195587158203,0.060975611209869385,0.4878048896789551,-65.25,34.04999923706055,87.0,40.60044479370117,0,
 161239,0.19189453125,-0.015869140625,-1.00927734375,-2.317073106765747,-0.27439025044441223,-0.030487805604934692,-63.150001525878906,33.0,87.44999694824219,40.50459671020508,0,
 161249,0.19140625,-0.013916015625,-0.996337890625,-2.4695122241973877,-0.18292683362960815,0.060975611209869385,-63.150001525878906,32.25,86.4000015258789,40.40875244140625,0,
 161259,0.19482421875,-0.0107421875,-1.010009765625,-2.4390244483947754,-0.7012194991111755,0.6402438879013062,-62.400001525878906,34.650001525878906,87.1500015258789,40.40875244140625,0,
 161269,0.1923828125,-0.0078125,-1.01025390625,-2.6219513416290283,-0.8841463327407837,0.396341472864151,-63.900001525878906,34.20000076293945,87.1500015258789,40.60044479370117,0,
 161279,0.189208984375,-0.014404296875,-1.005126953125,-1.9817073345184326,-1.1890244483947754,0.6707317233085632,-63.150001525878906,33.75,85.94999694824219,40.60044479370117,0,
 161289,0.188232421875,-0.010498046875,-1.013916015625,-2.408536672592163,-0.9451219439506531,0.4573170840740204,-61.650001525878906,31.049999237060547,83.4000015258789,40.50459671020508,0,
